File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF408HJK	fastq	reads	ENCSR707JVU	RNA-seq	CL:0000451	dendritic cell	in vitro differentiated cells	unknown	unknown	unknown	Homo sapiens	Lipopolysaccharide						RNA		RNeasy Plus Mini Kit Qiagen cat#74134 plus additional on column Dnase treatment			False	2017-01-19	GGR				1	1	75		paired-ended	2	ENCFF658PGS		955692979	Manuel Garber, UMass	eade98b121df78117bb4d9ebc7204ca9	SRA:SRR5210435	https://www.encodeproject.org/files/ENCFF408HJK/@@download/ENCFF408HJK.fastq.gz		Illumina NextSeq 500		released	inconsistent platforms		unreplicated experiment	
ENCFF658PGS	fastq	reads	ENCSR707JVU	RNA-seq	CL:0000451	dendritic cell	in vitro differentiated cells	unknown	unknown	unknown	Homo sapiens	Lipopolysaccharide						RNA		RNeasy Plus Mini Kit Qiagen cat#74134 plus additional on column Dnase treatment			False	2017-01-19	GGR				1	1	75		paired-ended	1	ENCFF408HJK		970812986	Manuel Garber, UMass	086162f7db42186a7d8af115bd5194fe	SRA:SRR5210435	https://www.encodeproject.org/files/ENCFF658PGS/@@download/ENCFF658PGS.fastq.gz		HiSeq 2000		released	inconsistent platforms		unreplicated experiment	
ENCFF288UZB	tsv	transcript quantifications	ENCSR707JVU	RNA-seq	CL:0000451	dendritic cell	in vitro differentiated cells	unknown	unknown	unknown	Homo sapiens	Lipopolysaccharide						RNA		RNeasy Plus Mini Kit Qiagen cat#74134 plus additional on column Dnase treatment			False	2017-01-19	GGR				1	1						ENCFF123SSX, ENCFF408HJK, ENCFF484VOS, ENCFF550VOB, ENCFF658PGS, ENCFF904HZM	2571218	Manuel Garber, UMass	29fca1b4371d887df9f561e00bdcce6e		https://www.encodeproject.org/files/ENCFF288UZB/@@download/ENCFF288UZB.tsv	hg19	Illumina NextSeq 500		released	inconsistent platforms		unreplicated experiment	
ENCFF193VVJ	bigWig	signal of all reads	ENCSR707JVU	RNA-seq	CL:0000451	dendritic cell	in vitro differentiated cells	unknown	unknown	unknown	Homo sapiens	Lipopolysaccharide						RNA		RNeasy Plus Mini Kit Qiagen cat#74134 plus additional on column Dnase treatment			False	2017-01-19	GGR				1	1						ENCFF860HLO	943132005	Manuel Garber, UMass	1e375903040356ee9b59c2670375263f		https://www.encodeproject.org/files/ENCFF193VVJ/@@download/ENCFF193VVJ.bigWig	hg19	Illumina NextSeq 500		released	inconsistent platforms		unreplicated experiment	
ENCFF712VOY	tsv	gene quantifications	ENCSR707JVU	RNA-seq	CL:0000451	dendritic cell	in vitro differentiated cells	unknown	unknown	unknown	Homo sapiens	Lipopolysaccharide						RNA		RNeasy Plus Mini Kit Qiagen cat#74134 plus additional on column Dnase treatment			False	2017-01-19	GGR				1	1						ENCFF123SSX, ENCFF408HJK, ENCFF484VOS, ENCFF550VOB, ENCFF658PGS, ENCFF904HZM	1566872	Manuel Garber, UMass	2c19d31f40bab5d48ddb1c655d30618e		https://www.encodeproject.org/files/ENCFF712VOY/@@download/ENCFF712VOY.tsv	hg19	Illumina NextSeq 500		released	inconsistent platforms		unreplicated experiment	
ENCFF860HLO	bam	alignments	ENCSR707JVU	RNA-seq	CL:0000451	dendritic cell	in vitro differentiated cells	unknown	unknown	unknown	Homo sapiens	Lipopolysaccharide						RNA		RNeasy Plus Mini Kit Qiagen cat#74134 plus additional on column Dnase treatment			False	2017-01-19	GGR				1							ENCFF123SSX, ENCFF408HJK, ENCFF484VOS, ENCFF550VOB, ENCFF658PGS	1450228994	Manuel Garber, UMass	5048bb6c6eb0d7e9c80afd74737c800a		https://www.encodeproject.org/files/ENCFF860HLO/@@download/ENCFF860HLO.bam	hg19	Illumina NextSeq 500		released	inconsistent platforms		unreplicated experiment	
ENCFF002DHV	fastq	reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	1	ENCFF002DHW		7923034875	Thomas Gingeras, CSHL	3dbd73d74450ca34a1a4c39e3827091c	SRA:SRR3192620	https://www.encodeproject.org/files/ENCFF002DHV/@@download/ENCFF002DHV.fastq.gz		HiSeq 2000		released				
ENCFF002DHW	fastq	reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	2	ENCFF002DHV		7978988219	Thomas Gingeras, CSHL	439ed918c5e8f997879dd4113f0e4f74	SRA:SRR3192620	https://www.encodeproject.org/files/ENCFF002DHW/@@download/ENCFF002DHW.fastq.gz		HiSeq 2000		released				
ENCFF002DLP	fastq	reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	1	ENCFF002DLQ		9112836732	Thomas Gingeras, CSHL	88a2926be38d746b50b2c6cf3de9f101	SRA:SRR3192621	https://www.encodeproject.org/files/ENCFF002DLP/@@download/ENCFF002DLP.fastq.gz		HiSeq 2000		released				
ENCFF002DLQ	fastq	reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	2	ENCFF002DLP		9130865915	Thomas Gingeras, CSHL	720141a5897ec21328dfa5facf56e476	SRA:SRR3192621	https://www.encodeproject.org/files/ENCFF002DLQ/@@download/ENCFF002DLQ.fastq.gz		HiSeq 2000		released				
